State,Year,Description,Value
Alabama,2011,Education,167293.5204
Alabama,2012,Education,176580.0657
Alabama,2013,Education,189413.652
Alabama,2002,NumofPatients,110514.0756
Alabama,2003,NumofPatients,111705.4136
Alabama,2004,NumofPatients,113154.9472
Alabama,2007,NumofPatients,110002.4163
Alabama,2008,NumofPatients,108728.1039
Alabama,2009,NumofPatients,106182.1196
Alabama,2010,NumofPatients,108801.44
Alabama,2011,NumofPatients,109401.4184
Alabama,2012,NumofPatients,108049.8224
Alabama,2013,NumofPatients,108175
Alabama,1999,MedicalGeneral,460958.8662
Alabama,2000,MedicalGeneral,482820.2252
Alabama,2001,MedicalGeneral,534447.8328
Alabama,2002,MedicalGeneral,555174.5008
Alabama,2003,MedicalGeneral,586900.1415
Alabama,2004,MedicalGeneral,619381.6125
Alabama,2005,MedicalGeneral,607171.1116
Alabama,2006,MedicalGeneral,585640.1906
Alabama,2007,MedicalGeneral,638041.3053
Alabama,2008,MedicalGeneral,687523.8389
Alabama,2009,MedicalGeneral,778277.6693
Alabama,2010,MedicalGeneral,871887.2562
Alabama,2011,MedicalGeneral,860587.8498
Alabama,2012,MedicalGeneral,855375.6331
Alabama,2013,MedicalGeneral,1022035.158
Alabama,1999,OtherExpense,44557.31764
Alabama,2000,OtherExpense,39758.53445
Alabama,2001,OtherExpense,38613.84344
Alabama,2002,OtherExpense,39002.49358
Alabama,2003,OtherExpense,34750.59103
Alabama,2004,OtherExpense,37090.63831
Alabama,2005,OtherExpense,31851.07505
Alabama,2006,OtherExpense,29814.72403
Alabama,2007,OtherExpense,37141.02115
Alabama,2008,OtherExpense,33030.38705
Alabama,2009,OtherExpense,38900.92967
Alabama,2010,OtherExpense,46340.72474
Alabama,2011,OtherExpense,47973.26938
Alabama,2012,OtherExpense,37031.27014
Alabama,2013,OtherExpense,31779.15071
Alabama,1999,AmtperVet,3.059427328
Alabama,2000,AmtperVet,2.79562164
Alabama,2001,AmtperVet,2.858520381
Alabama,2002,AmtperVet,3.251009482
Alabama,2003,AmtperVet,3.525635225
Alabama,2004,AmtperVet,3.779968199
Alabama,2005,AmtperVet,3.886208295
Alabama,2006,AmtperVet,3.885717421
Alabama,2007,AmtperVet,4.13526755
Alabama,2008,AmtperVet,4.485917577
Alabama,2009,AmtperVet,5.221903891
Alabama,2010,AmtperVet,5.7185587
Alabama,2011,AmtperVet,6.295714133
Alabama,2012,AmtperVet,5.863008606
Alabama,2013,AmtperVet,6.805636193
Alaska,1999,NumOfVeterans,62665
Alaska,2000,NumOfVeterans,71552
Alaska,2001,NumOfVeterans,67581.82
Alaska,2002,NumOfVeterans,68049.90054
Alaska,2003,NumOfVeterans,67015.85368
Alaska,2004,NumOfVeterans,67298.93403
Alaska,2005,NumOfVeterans,66537.42602
Alaska,2006,NumOfVeterans,65766.54316
Alaska,2007,NumOfVeterans,74556.652
Alaska,2008,NumOfVeterans,75596.76535
Alaska,2009,NumOfVeterans,76467.86042
Alaska,2010,NumOfVeterans,77025.43214
Alaska,2011,NumOfVeterans,77350.98918
Alaska,2012,NumOfVeterans,74513.22223
Alaska,2013,NumOfVeterans,74670.67751
Alaska,1999,TotalExpense,205397.5031
Alaska,2000,TotalExpense,211621.966
Alaska,2001,TotalExpense,228848.9227
Alaska,2002,TotalExpense,267748.3065
Alaska,2003,TotalExpense,280349.0457
Alaska,2004,TotalExpense,284323.9677
Alaska,2005,TotalExpense,274292.9572
Alaska,2006,TotalExpense,254644.8643
Alaska,2007,TotalExpense,274729.8747
Alaska,2008,TotalExpense,300782.6482
Alaska,2009,TotalExpense,374702.0765
Alaska,2010,TotalExpense,383898.1997
Alaska,2011,TotalExpense,441631.1183
Alaska,2012,TotalExpense,416058.4225
Alaska,2013,TotalExpense,501604.2618
Alaska,1999,Compensation,98516.0303
Alaska,2000,Compensation,101410.2731
Alaska,2001,Compensation,109251.7029
Alaska,2002,Compensation,122736.2262
Alaska,2003,Compensation,132102.0117
Alaska,2004,Compensation,135988.1907
Alaska,2005,Compensation,134076.5165
Alaska,2006,Compensation,130744.5331
Alaska,2007,Compensation,134604.661
Alaska,2008,Compensation,145194.1543
Alaska,2009,Compensation,162887.6485
Alaska,2010,Compensation,178832.7048
Alaska,2011,Compensation,221854.3392
Alaska,2012,Compensation,180875.3479
Alaska,2013,Compensation,211259.883
Alaska,1999,Education,8074.896483
Alaska,2000,Education,8170.077967
Alaska,2001,Education,9049.429733
Alaska,2002,Education,8869.504798
Alaska,2003,Education,9440.796876
Alaska,2004,Education,13504.21974
Alaska,2005,Education,12616.37074
Alaska,2006,Education,12802.0861
Alaska,2007,Education,12518.49879
Alaska,2008,Education,11380.3127
Alaska,2009,Education,13893.89938
Alaska,2010,Education,37461.37441
Alaska,2011,Education,50849.98221
Alaska,2012,Education,54498.53552
Alaska,2013,Education,61849.811
Alaska,2002,NumofPatients,15878.36984
Alaska,2003,NumofPatients,15039.65328
Alaska,2004,NumofPatients,15301.90818
Alaska,2007,NumofPatients,15467.77314
Alaska,2008,NumofPatients,15614.99341
Alaska,2009,NumofPatients,15773.49379
Alaska,2010,NumofPatients,16371.17561
Alaska,2011,NumofPatients,16519.57689
Alaska,2012,NumofPatients,16948.67343
Alaska,2013,NumofPatients,17304
Alaska,1999,MedicalGeneral,95180.77123
Alaska,2000,MedicalGeneral,98495.76318
Alaska,2001,MedicalGeneral,107111.5362
Alaska,2002,MedicalGeneral,132701.7631
Alaska,2003,MedicalGeneral,135066.9344
Alaska,2004,MedicalGeneral,131558.0648
Alaska,2005,MedicalGeneral,122657.9355
Alaska,2006,MedicalGeneral,101574.2196
Alaska,2007,MedicalGeneral,120033.9169
Alaska,2008,MedicalGeneral,125075.5236
Alaska,2009,MedicalGeneral,145841.5077
Alaska,2010,MedicalGeneral,149591.1133
Alaska,2011,MedicalGeneral,164733.6057
Alaska,2012,MedicalGeneral,175455.0764
Alaska,2013,MedicalGeneral,224437.8278
Alaska,1999,OtherExpense,3625.805112
Alaska,2000,OtherExpense,3545.851755
Alaska,2001,OtherExpense,3436.253867
Alaska,2002,OtherExpense,3440.812443
Alaska,2003,OtherExpense,3739.302778
Alaska,2004,OtherExpense,3273.492526
Alaska,2005,OtherExpense,4942.134446
Alaska,2006,OtherExpense,9524.0256
Alaska,2007,OtherExpense,7572.798018
Alaska,2008,OtherExpense,19132.65771
Alaska,2009,OtherExpense,52079.02083
Alaska,2010,OtherExpense,18013.00713
Alaska,2011,OtherExpense,4192.246953
Alaska,2012,OtherExpense,5229.462647
Alaska,2013,OtherExpense,4056.74005
Alaska,1999,AmtperVet,3.277706904
Alaska,2000,AmtperVet,2.957596796
Alaska,2001,AmtperVet,3.386249774
Alaska,2002,AmtperVet,3.934587772
Alaska,2003,AmtperVet,4.183324248
Alaska,2004,AmtperVet,4.224791548
Alaska,2005,AmtperVet,4.122386055
Alaska,2006,AmtperVet,3.871951483
Alaska,2007,AmtperVet,3.684847259
Alaska,2008,AmtperVet,3.978776696
Alaska,2009,AmtperVet,4.900125025
Alaska,2010,AmtperVet,4.984044737
Alaska,2011,AmtperVet,5.709443706
Alaska,2012,AmtperVet,5.583685822
Alaska,2013,AmtperVet,6.717553376
Arizona,1999,NumOfVeterans,442745
Arizona,2000,NumOfVeterans,562916
Arizona,2001,NumOfVeterans,515189.64
Arizona,2002,NumOfVeterans,563842.4094
Arizona,2003,NumOfVeterans,562405
Arizona,2004,NumOfVeterans,555223.4226
Arizona,2005,NumOfVeterans,552963.3921
Arizona,2006,NumOfVeterans,550095.063
Arizona,2007,NumOfVeterans,567631.659
Arizona,2008,NumOfVeterans,564795.8312
Arizona,2009,NumOfVeterans,561387.2947
Arizona,2010,NumOfVeterans,556728.9748
Arizona,2011,NumOfVeterans,551262.2327
Arizona,2012,NumOfVeterans,531909.834
Arizona,2013,NumOfVeterans,527399.5393
Arizona,1999,TotalExpense,1225909.039
Arizona,2000,TotalExpense,1282215.428
Arizona,2001,TotalExpense,1373402.981
Arizona,2002,TotalExpense,1508289.522
Arizona,2003,TotalExpense,1662731.6
Arizona,2004,TotalExpense,1765598.727
Arizona,2005,TotalExpense,1812977.272
Arizona,2006,TotalExpense,1821133.821
Arizona,2007,TotalExpense,1892830.978
Arizona,2008,TotalExpense,2027944.683
Arizona,2009,TotalExpense,2311698.317
Arizona,2010,TotalExpense,2561058.496
Arizona,2011,TotalExpense,2866639.424
Arizona,2012,TotalExpense,2752546.038
Arizona,2013,TotalExpense,3220904.749
Arizona,1999,Compensation,622176.8182
Arizona,2000,Compensation,630260.2027
Arizona,2001,Compensation,666794.3272
Arizona,2002,Compensation,738474.7609
Arizona,2003,Compensation,809724.3665
Arizona,2004,Compensation,846217.2188
Arizona,2005,Compensation,884761.0337
Arizona,2006,Compensation,886333.5073
Arizona,2007,Compensation,905625.2051
Arizona,2008,Compensation,965078.7908
Arizona,2009,Compensation,1032574.577
Arizona,2010,Compensation,1126493.165
Arizona,2011,Compensation,1347934.507
Arizona,2012,Compensation,1196839.469
Arizona,2013,Compensation,1409346.495
Arizona,1999,Education,62565.88094
Arizona,2000,Education,61521.98345
Arizona,2001,Education,57131.40858
Arizona,2002,Education,67750.43054
Arizona,2003,Education,81119.16045
Arizona,2004,Education,109051.7143
Arizona,2005,Education,101978.1384
Arizona,2006,Education,101512.9778
Arizona,2007,Education,96235.72423
Arizona,2008,Education,93768.16471
Arizona,2009,Education,123509.6971
Arizona,2010,Education,245225.8471
Arizona,2011,Education,319923.0047
Arizona,2012,Education,310799.0396
Arizona,2013,Education,343819.709
Arizona,2002,NumofPatients,131087.8434
Arizona,2003,NumofPatients,138884.1523
Arizona,2004,NumofPatients,140437.6773
Arizona,2007,NumofPatients,133984.3744
Arizona,2008,NumofPatients,132607.312
Arizona,2009,NumofPatients,129878.2092
Arizona,2010,NumofPatients,134580.3794
Arizona,2011,NumofPatients,134491.9951
Arizona,2012,NumofPatients,134755.3471
Arizona,2013,NumofPatients,137362
Arizona,1999,MedicalGeneral,466756.3829
Arizona,2000,MedicalGeneral,514895.294
Arizona,2001,MedicalGeneral,580860.106
Arizona,2002,MedicalGeneral,630746.506
Arizona,2003,MedicalGeneral,700666.0148
Arizona,2004,MedicalGeneral,753676.4134
Arizona,2005,MedicalGeneral,767998.6749
Arizona,2006,MedicalGeneral,777549.3645
Arizona,2007,MedicalGeneral,834426.0507
Arizona,2008,MedicalGeneral,916532.5339
Arizona,2009,MedicalGeneral,1105672.649
Arizona,2010,MedicalGeneral,1141319.1
Arizona,2011,MedicalGeneral,1134310.053
Arizona,2012,MedicalGeneral,1185592.559
Arizona,2013,MedicalGeneral,1410391.81
Arizona,1999,OtherExpense,74409.95736
Arizona,2000,OtherExpense,75537.94823
Arizona,2001,OtherExpense,68617.13972
Arizona,2002,OtherExpense,71317.82503
Arizona,2003,OtherExpense,71222.05851
Arizona,2004,OtherExpense,56653.3806
Arizona,2005,OtherExpense,58239.42534
Arizona,2006,OtherExpense,55737.97141
Arizona,2007,OtherExpense,56543.99796
Arizona,2008,OtherExpense,52565.19369
Arizona,2009,OtherExpense,49941.39358
Arizona,2010,OtherExpense,48020.38427
Arizona,2011,OtherExpense,64471.85854
Arizona,2012,OtherExpense,59314.97024
Arizona,2013,OtherExpense,57346.73514
Arizona,1999,AmtperVet,2.768882854
Arizona,2000,AmtperVet,2.277809528
Arizona,2001,AmtperVet,2.665820263
Arizona,2002,AmtperVet,2.675019646
Arizona,2003,AmtperVet,2.956466604
Arizona,2004,AmtperVet,3.179978825
Arizona,2005,AmtperVet,3.278656957
Arizona,2006,AmtperVet,3.310580195
Arizona,2007,AmtperVet,3.334611359
Arizona,2008,AmtperVet,3.59058012
Arizona,2009,AmtperVet,4.117831555
Arizona,2010,AmtperVet,4.600188983
Arizona,2011,AmtperVet,5.200137527
Arizona,2012,AmtperVet,5.174835776
Arizona,2013,AmtperVet,6.107143653
Arkansas,1999,NumOfVeterans,245724
Arkansas,2000,NumOfVeterans,281714
Arkansas,2001,NumOfVeterans,283222.79
Arkansas,2002,NumOfVeterans,276650.5727
Arkansas,2003,NumOfVeterans,274272
Arkansas,2004,NumOfVeterans,268352.559
Arkansas,2005,NumOfVeterans,265531.5236
Arkansas,2006,NumOfVeterans,262613.1781
Arkansas,2007,NumOfVeterans,262374.2865
Arkansas,2008,NumOfVeterans,260073.904
Arkansas,2009,NumOfVeterans,257625.4476
Arkansas,2010,NumOfVeterans,254663.694
Arkansas,2011,NumOfVeterans,251401.6502
Arkansas,2012,NumOfVeterans,252279.2713
Arkansas,2013,NumOfVeterans,250095.0454
Arkansas,1999,TotalExpense,989425.0354
Arkansas,2000,TotalExpense,985493.0595
Arkansas,2001,TotalExpense,1045909.031
Arkansas,2002,TotalExpense,1155522.97
Arkansas,2003,TotalExpense,1209150.586
Arkansas,2004,TotalExpense,1300114.727
Arkansas,2005,TotalExpense,1308577.532
Arkansas,2006,TotalExpense,1269052.543
Arkansas,2007,TotalExpense,1346854.897
Arkansas,2008,TotalExpense,1428674.969
Arkansas,2009,TotalExpense,1632388.353
Arkansas,2010,TotalExpense,1727271.612
Arkansas,2011,TotalExpense,1803803.681
Arkansas,2012,TotalExpense,1698993.992
Arkansas,2013,TotalExpense,1946614.507
Arkansas,1999,Compensation,525753.8939
Arkansas,2000,Compensation,516173.9587
Arkansas,2001,Compensation,523520.3357
Arkansas,2002,Compensation,563878.3583
Arkansas,2003,Compensation,596683.0853
Arkansas,2004,Compensation,613160.8614
Arkansas,2005,Compensation,621960.9625
Arkansas,2006,Compensation,620730.7001
Arkansas,2007,Compensation,644534.8815
Arkansas,2008,Compensation,684188.0249
Arkansas,2009,Compensation,779911.2309
Arkansas,2010,Compensation,813134.829
Arkansas,2011,Compensation,935436.9839
Arkansas,2012,Compensation,814076.4998
Arkansas,2013,Compensation,924670.594
Arkansas,1999,Education,23447.01997
Arkansas,2000,Education,24282.07403
Arkansas,2001,Education,20984.79944
Arkansas,2002,Education,24549.5104
Arkansas,2003,Education,28104.74502
Arkansas,2004,Education,36215.16994
Arkansas,2005,Education,36205.33553
Arkansas,2006,Education,36068.63462
Arkansas,2007,Education,36296.6894
Arkansas,2008,Education,33865.13349
Arkansas,2009,Education,43251.75871
Arkansas,2010,Education,65012.18705
Arkansas,2011,Education,70506.29321
Arkansas,2012,Education,74497.98235
Arkansas,2013,Education,79062.838
Arkansas,2002,NumofPatients,98884.35459
Arkansas,2003,NumofPatients,101732.5751
Arkansas,2004,NumofPatients,101900.4974
Arkansas,2007,NumofPatients,96534.54409
Arkansas,2008,NumofPatients,94586.0801
Arkansas,2009,NumofPatients,91861.04742
Arkansas,2010,NumofPatients,91475.17229
Arkansas,2011,NumofPatients,89431.07163
Arkansas,2012,NumofPatients,88085.61634
Arkansas,2013,NumofPatients,86763
Arkansas,1999,MedicalGeneral,414990.3884
Arkansas,2000,MedicalGeneral,420402.9807
Arkansas,2001,MedicalGeneral,477670.2445
Arkansas,2002,MedicalGeneral,539877.3872
Arkansas,2003,MedicalGeneral,561776.5886
Arkansas,2004,MedicalGeneral,622863.8532
Arkansas,2005,MedicalGeneral,628137.1462
Arkansas,2006,MedicalGeneral,592980.2493
Arkansas,2007,MedicalGeneral,643806.1611
Arkansas,2008,MedicalGeneral,691077.1885
Arkansas,2009,MedicalGeneral,777688.7215
Arkansas,2010,MedicalGeneral,801796.5141
Arkansas,2011,MedicalGeneral,758162.4168
Arkansas,2012,MedicalGeneral,770111.1905
Arkansas,2013,MedicalGeneral,921458.3785
Arkansas,1999,OtherExpense,25233.73305
Arkansas,2000,OtherExpense,24634.04608
Arkansas,2001,OtherExpense,23733.65127
Arkansas,2002,OtherExpense,27217.71433
Arkansas,2003,OtherExpense,22586.16681
Arkansas,2004,OtherExpense,27874.84226
Arkansas,2005,OtherExpense,22274.08753
Arkansas,2006,OtherExpense,19272.9585
Arkansas,2007,OtherExpense,22217.16476
Arkansas,2008,OtherExpense,19544.6223
Arkansas,2009,OtherExpense,31536.64166
Arkansas,2010,OtherExpense,47328.08153
Arkansas,2011,OtherExpense,39697.98719
Arkansas,2012,OtherExpense,40308.31941
Arkansas,2013,OtherExpense,21422.69615
Arkansas,1999,AmtperVet,4.026570605
Arkansas,2000,AmtperVet,3.498204063
Arkansas,2001,AmtperVet,3.692884428
Arkansas,2002,AmtperVet,4.17683202
Arkansas,2003,AmtperVet,4.40858194
Arkansas,2004,AmtperVet,4.844800927
Arkansas,2005,AmtperVet,4.9281438
Arkansas,2006,AmtperVet,4.832402363
Arkansas,2007,AmtperVet,5.133334195
Arkansas,2008,AmtperVet,5.493342267
Arkansas,2009,AmtperVet,6.336285364
Arkansas,2010,AmtperVet,6.782559321
Arkansas,2011,AmtperVet,7.174987435
Arkansas,2012,AmtperVet,6.734576262
Arkansas,2013,AmtperVet,7.783498884
California,1999,NumOfVeterans,2665767
California,2000,NumOfVeterans,2569340
California,2001,NumOfVeterans,2317559.78
California,2002,NumOfVeterans,2392192.869
California,2003,NumOfVeterans,2325634
California,2004,NumOfVeterans,2310967.538
California,2005,NumOfVeterans,2257130.043
California,2006,NumOfVeterans,2203726.993
California,2007,NumOfVeterans,2131939.094
California,2008,NumOfVeterans,2078267.328
California,2009,NumOfVeterans,2025933.54
California,2010,NumOfVeterans,1971958.802
California,2011,NumOfVeterans,1918073.232
California,2012,NumOfVeterans,1844803.176
California,2013,NumOfVeterans,1795454.691
California,1999,TotalExpense,5455473.965
California,2000,TotalExpense,5583648.122
California,2001,TotalExpense,5787638.342
California,2002,TotalExpense,6022787.758
California,2003,TotalExpense,6544881.978
California,2004,TotalExpense,6931973.21
California,2005,TotalExpense,7084998.606
California,2006,TotalExpense,6966516.979
California,2007,TotalExpense,7374081.31
California,2008,TotalExpense,7739206.459
California,2009,TotalExpense,8761709.849
California,2010,TotalExpense,9748404.336
California,2011,TotalExpense,10710032.8
California,2012,TotalExpense,10425254.5
California,2013,TotalExpense,12707535.8
California,1999,Compensation,2395909.133
California,2000,Compensation,2376772.284
California,2001,Compensation,2453444.797
California,2002,Compensation,2643857.96
California,2003,Compensation,2902732.921
California,2004,Compensation,3017602.666
California,2005,Compensation,3177939.02
California,2006,Compensation,3100426.821
California,2007,Compensation,3178087.499
California,2008,Compensation,3417630.509
California,2009,Compensation,3771079.166
California,2010,Compensation,4064591.068
California,2011,Compensation,4704221.483
California,2012,Compensation,4281558.07
California,2013,Compensation,5397860.031
California,1999,Education,199214.5936
California,2000,Education,207641.3261
California,2001,Education,193929.7506
California,2002,Education,233757.7748
California,2003,Education,288698.8699
California,2004,Education,369211.3304
California,2005,Education,362780.3591
California,2006,Education,354119.9026
California,2007,Education,353071.6164
California,2008,Education,335424.3008
California,2009,Education,456626.1617
California,2010,Education,1058939.364
California,2011,Education,1459754.824
California,2012,Education,1414303.913
California,2013,Education,1599760.457
California,2002,NumofPatients,470698.7477
California,2003,NumofPatients,476552.7917
California,2004,NumofPatients,473465.0625
California,2007,NumofPatients,442523.0238
California,2008,NumofPatients,441727.4705
California,2009,NumofPatients,422366.7998
California,2010,NumofPatients,433656.6732
California,2011,NumofPatients,433702.3267
California,2012,NumofPatients,437585.0391
California,2013,NumofPatients,444432
California,1999,MedicalGeneral,2508821.007
California,2000,MedicalGeneral,2654573.518
California,2001,MedicalGeneral,2810244.126
California,2002,MedicalGeneral,2821578.71
California,2003,MedicalGeneral,3055918.105
California,2004,MedicalGeneral,3271675.959
California,2005,MedicalGeneral,3288581.702
California,2006,MedicalGeneral,3232264.948
California,2007,MedicalGeneral,3523666.922
California,2008,MedicalGeneral,3741451.378
California,2009,MedicalGeneral,4197654.52
California,2010,MedicalGeneral,4296576.298
California,2011,MedicalGeneral,4203301.338
California,2012,MedicalGeneral,4439496.057
California,2013,MedicalGeneral,5401951.605
California,1999,OtherExpense,351529.2325
California,2000,OtherExpense,344660.9935
California,2001,OtherExpense,330019.6692
California,2002,OtherExpense,323593.3132
California,2003,OtherExpense,297532.0826
California,2004,OtherExpense,273483.2537
California,2005,OtherExpense,255697.524
California,2006,OtherExpense,279705.3067
California,2007,OtherExpense,319255.2727
California,2008,OtherExpense,244700.2716
California,2009,OtherExpense,336350.0011
California,2010,OtherExpense,328297.606
California,2011,OtherExpense,342755.1523
California,2012,OtherExpense,289896.4604
California,2013,OtherExpense,307963.7065
California,1999,AmtperVet,2.046493173
California,2000,AmtperVet,2.173183822
California,2001,AmtperVet,2.497298405
California,2002,AmtperVet,2.517684855
California,2003,AmtperVet,2.814235593
California,2004,AmtperVet,2.999597829
California,2005,AmtperVet,3.138941253
California,2006,AmtperVet,3.161243204
California,2007,AmtperVet,3.458861151
California,2008,AmtperVet,3.723874381
California,2009,AmtperVet,4.324776541
California,2010,AmtperVet,4.943513185
California,2011,AmtperVet,5.58374551
California,2012,AmtperVet,5.651147307
California,2013,AmtperVet,7.0776143
Colorado,1999,NumOfVeterans,363193
Colorado,2000,NumOfVeterans,446385
Colorado,2001,NumOfVeterans,410680.4
Colorado,2002,NumOfVeterans,437514.9156
Colorado,2003,NumOfVeterans,433291
Colorado,2004,NumOfVeterans,427956.2871
Colorado,2005,NumOfVeterans,424028.8625
Colorado,2006,NumOfVeterans,419937.7875
Colorado,2007,NumOfVeterans,427705.7717
Colorado,2008,NumOfVeterans,426161.8613
Colorado,2009,NumOfVeterans,424227.8094
Colorado,2010,NumOfVeterans,421342.2066
Colorado,2011,NumOfVeterans,417833.7728
Colorado,2012,NumOfVeterans,395612.6283
Colorado,2013,NumOfVeterans,390823.8421
Colorado,1999,TotalExpense,1042528.55
Colorado,2000,TotalExpense,1187360.37
Colorado,2001,TotalExpense,1186891.62
Colorado,2002,TotalExpense,1066284.084
Colorado,2003,TotalExpense,1142776.677
Colorado,2004,TotalExpense,1233724.246
Colorado,2005,TotalExpense,1930336.126
Colorado,2006,TotalExpense,1254319.316
Colorado,2007,TotalExpense,1335865.507
Colorado,2008,TotalExpense,1502318.902
Colorado,2009,TotalExpense,1653006.131
Colorado,2010,TotalExpense,1953546.365
Colorado,2011,TotalExpense,2258718.476
Colorado,2012,TotalExpense,2142932.098
Colorado,2013,TotalExpense,2594676.607
Colorado,1999,Compensation,476864.3675
Colorado,2000,Compensation,485656.7648
Colorado,2001,Compensation,506336.083
Colorado,2002,Compensation,552154.6089
Colorado,2003,Compensation,607963.3196
Colorado,2004,Compensation,636857.9117
Colorado,2005,Compensation,665589.5535
Colorado,2006,Compensation,666412.1413
Colorado,2007,Compensation,704224.7814
Colorado,2008,Compensation,770956.7459
Colorado,2009,Compensation,873680.8205
Colorado,2010,Compensation,966318.7334
Colorado,2011,Compensation,1187708.927
Colorado,2012,Compensation,1025901.816
Colorado,2013,Compensation,1212142.876
Colorado,1999,Education,59212.30552
Colorado,2000,Education,61677.02567
Colorado,2001,Education,59674.16647
Colorado,2002,Education,62598.47018
Colorado,2003,Education,68581.70367
Colorado,2004,Education,96363.99295
Colorado,2005,Education,91946.62651
Colorado,2006,Education,87526.78716
Colorado,2007,Education,87378.22451
Colorado,2008,Education,82764.03304
Colorado,2009,Education,105150.2943
Colorado,2010,Education,234181.7488
Colorado,2011,Education,298466.1768
Colorado,2012,Education,289154.2108
Colorado,2013,Education,324347.441
Colorado,2002,NumofPatients,69641.06426
Colorado,2003,NumofPatients,72044.48439
Colorado,2004,NumofPatients,77049.69532
Colorado,2007,NumofPatients,79118.55284
Colorado,2008,NumofPatients,78769.78445
Colorado,2009,NumofPatients,79917.94888
Colorado,2010,NumofPatients,83880.3741
Colorado,2011,NumofPatients,85037.86461
Colorado,2012,NumofPatients,86955.29892
Colorado,2013,NumofPatients,90822
Colorado,1999,MedicalGeneral,460105.9094
Colorado,2000,MedicalGeneral,580677.3588
Colorado,2001,MedicalGeneral,575903.6097
Colorado,2002,MedicalGeneral,408206.2708
Colorado,2003,MedicalGeneral,426766.582
Colorado,2004,MedicalGeneral,457414.8833
Colorado,2005,MedicalGeneral,1128737.096
Colorado,2006,MedicalGeneral,463540.0515
Colorado,2007,MedicalGeneral,495108.6611
Colorado,2008,MedicalGeneral,564054.4919
Colorado,2009,MedicalGeneral,631572.0721
Colorado,2010,MedicalGeneral,695585.5911
Colorado,2011,MedicalGeneral,692601.2394
Colorado,2012,MedicalGeneral,726178.3553
Colorado,2013,MedicalGeneral,913089.1831
Colorado,1999,OtherExpense,46345.96736
Colorado,2000,OtherExpense,59349.22111
Colorado,2001,OtherExpense,44977.7604
Colorado,2002,OtherExpense,43324.73425
Colorado,2003,OtherExpense,39465.07204
Colorado,2004,OtherExpense,43087.4578
Colorado,2005,OtherExpense,44062.85037
Colorado,2006,OtherExpense,36840.33581
Colorado,2007,OtherExpense,49153.83992
Colorado,2008,OtherExpense,84543.63164
Colorado,2009,OtherExpense,42602.94377
Colorado,2010,OtherExpense,57460.29187
Colorado,2011,OtherExpense,79942.13227
Colorado,2012,OtherExpense,101697.7159
Colorado,2013,OtherExpense,145097.1066
Colorado,1999,AmtperVet,2.870453312
Colorado,2000,AmtperVet,2.659946841
Colorado,2001,AmtperVet,2.890061516
Colorado,2002,AmtperVet,2.437137675
Colorado,2003,AmtperVet,2.637434605
Colorado,2004,AmtperVet,2.882827716
Colorado,2005,AmtperVet,4.552369654
Colorado,2006,AmtperVet,2.986916999
Colorado,2007,AmtperVet,3.123328221
Colorado,2008,AmtperVet,3.525230761
Colorado,2009,AmtperVet,3.896505826
Colorado,2010,AmtperVet,4.636483919
Colorado,2011,AmtperVet,5.40578245
Colorado,2012,AmtperVet,5.416743412
